"id";"CIIU";"sector";"bloqueado"
2;"111";"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas";0
3;"112";"Cultivo de arroz";0
4;"113";"Cultivo de hortalizas, raíces y tubérculos";0
5;"114";"Cultivo de tabaco";0
6;"115";"Cultivo de plantas textiles";0
7;"119";"Otros cultivos transitorios n.c.p.";0
8;"121";"Cultivo de frutas tropicales y subtropicales";0
9;"122";"Cultivo de plátano y banano";0
10;"123";"Cultivo de café";0
11;"124";"Cultivo de caña de azúcar";0
12;"125";"Cultivo de flor de corte";0
13;"126";"Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos";0
14;"127";"Cultivo de plantas con las que se preparan bebidas";0
15;"128";"Cultivo de especias y de plantas aromáticas y medicinales";0
16;"129";"Otros cultivos permanentes n.c.p.";0
17;"130";"Propagación de plantas (actividades de los viveros, excepto viveros forestales)";0
18;"141";"Cría de ganado bovino y bufalino";0
19;"142";"Cría de caballos y otros equinos";0
20;"143";"Cría de ovejas y cabras";0
21;"144";"Cría de ganado porcino";0
22;"145";"Cría de aves de corral";0
23;"149";"Cría de otros animales n.c.p.";0
24;"150";"Explotación mixta (agrícola y pecuaria)";0
25;"161";"Actividades de apoyo a la agricultura";0
26;"162";"Actividades de apoyo a la ganadería";0
27;"163";"Actividades posteriores a la cosecha";0
28;"164";"Tratamiento de semillas para propagación";0
29;"170";"Caza ordinaria y mediante trampas y actividades de servicios conexas";0
30;"210";"Silvicultura y otras actividades forestales";0
31;"220";"Extracción de madera";0
32;"230";"Recolección de productos forestales diferentes a la madera";0
33;"240";"Servicios de apoyo a la silvicultura";0
34;"311";"Pesca marítima";0
35;"312";"Pesca de agua dulce";0
36;"321";"Acuicultura marítima";0
37;"322";"Acuicultura de agua dulce";0
38;"510";"Extracción de hulla (carbón de piedra)";0
39;"520";"Extracción de carbón lignito";0
40;"610";"Extracción de petróleo crudo";0
41;"620";"Extracción de gas natural";0
42;"710";"Extracción de minerales de hierro";0
43;"721";"Extracción de minerales de uranio y de torio";0
44;"722";"Extracción de oro y otros metales preciosos";0
45;"723";"Extracción de minerales de níquel";0
46;"729";"Extracción de otros minerales metalíferos no ferrosos n.c.p.";0
47;"811";"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita";0
48;"812";"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas";0
49;"820";"Extracción de esmeraldas, piedras preciosas y semipreciosas";0
50;"891";"Extracción de minerales para la fabricación de abonos y productos químicos";0
51;"892";"Extracción de halita (sal)";0
52;"899";"Extracción de otros minerales no metálicos n.c.p.";0
53;"910";"Actividades de apoyo para la extracción de petróleo y de gas natural";0
54;"990";"Actividades de apoyo para otras actividades de explotación de minas y canteras";0
55;"1011";"Procesamiento y conservación de carne y productos cárnicos";0
56;"1012";"Procesamiento y conservación de pescados, crustáceos y moluscos";0
57;"1020";"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos";0
58;"1030";"Elaboración de aceites y grasas de origen vegetal y animal";0
59;"1040";"Elaboración de productos lácteos";0
60;"1051";"Elaboración de productos de molinería";0
61;"1052";"Elaboración de almidones y productos derivados del almidón";0
62;"1061";"Trilla de café";0
63;"1062";"Descafeinado, tostión y molienda del café";0
64;"1063";"Otros derivados del café";0
65;"1071";"Elaboración y refinación de azúcar";0
66;"1072";"Elaboración de panela";0
67;"1081";"Elaboración de productos de panadería";0
68;"1082";"Elaboración de cacao, chocolate y productos de confitería";0
69;"1083";"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares";0
70;"1084";"Elaboración de comidas y platos preparados";0
71;"1089";"Elaboración de otros productos alimenticios n.c.p.";0
72;"1090";"Elaboración de alimentos preparados para animales";0
73;"1101";"Destilación, rectificación y mezcla de bebidas alcohólicas";0
74;"1102";"Elaboración de bebidas fermentadas no destiladas";0
75;"1103";"Producción de malta, elaboración de cervezas y otras bebidas malteadas";0
