"id";"variable";"indicador";"tipo"
1;"1";"Efectivo y equivalentes al efectivo";"activos corrientes"
2;"2";"Otros activos corrientes";"activos corrientes"
3;"3";"Cuentas por cobrar comerciales y otras cuentas por cobrar (neto)
";"activos corrientes"
4;"4";"Inventarios (neto)";"activos corrientes"
5;"5";"Propiedad, planta y equipo (neto)";"activos no corrientes"
6;"6";"Cuentas por cobrar comerciales y otras cuentas por cobrar (neto)";"activos no corrientes"
7;"7";"Propiedades de inversi&oacute;n";"activos no corrientes"
8;"8";"Otros activos";"activos no corrientes"
9;"9";"Activos por impuestos diferidos";"activos no corrientes"
32;"17";"Cuentas por pagar comerciales y otras cuentas por pagar";"pasivos no corrientes"
27;"15";"Otros pasivos no financieros";"pasivos corrientes"
25;"13";"Beneficios a empleados
";"pasivos corrientes"
21;"12";"Otros pasivos corrientes";"pasivos corrientes"
26;"14";"Impuestos por pagar";"pasivos corrientes"
20;"11";"Cuentas por pagar comerciales";"pasivos corrientes"
19;"10";"Obligaciones financieras";"pasivos corrientes"
31;"16";"Obligaciones financieras";"pasivos no corrientes"
33;"18";"Pasivo por impuestos diferidos";"pasivos no corrientes"
34;"19";"Impuestos por pagar";"pasivos no corrientes"
35;"20";"Otros pasivos no corrientes";"pasivos no corrientes"
36;"21";"Capital pagado";"patrimonio"
37;"22";"Prima en colocaci&oacute;n de acciones";"patrimonio"
38;"23";"Reservas";"patrimonio"
39;"24";"Resultados acumulados";"patrimonio"
40;"25";"Resultado del ejercicio";"patrimonio"
41;"26";"Otro resultado integral";"patrimonio"
42;"27";"Ingreso de actividades ordinarias";"p&g"
43;"28";"Costo de ventas";"p&g"
44;"29";"Gastos de administraci&oacute;n";"p&g"
45;"30";"Gastos de ventas";"p&g"
46;"31";"Gastos financieros";"p&g"
47;"32";"Otros gastos";"p&g"
48;"33";"Ingresos financieros";"p&g"
49;"34";"Otros ingresos";"p&g"
50;"35";"Ingreso, gasto por impuestos (neto)";"p&g"
