"id";"NIT";"pyme";"ind-sep";"nombre";"CIIU";"constitucion";"estado";"direccionjud";"deptojud";"ciudadjud";"direccion";"depto";"ciudad";"pais";"telefono";"celular";"email";"matricula";"dommatriz";"paismatriz";"revisor";"conceptorev"
17501;"800204652";1;1;"AGP REPRESENTACIONES SAS";"4659";"12/08/1993";"ACTIVA";"Calle 21A  No.70 – 40 Bodega UA 7 - 1 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Calle 21A  No.70 – 40 Bodega UA 7 - 1 ";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"5706353";"3158584517";"jrmora@agp.com.co";"561867";"";"";"Si";"03. LIMPIO"
17502;"900247026";1;1;"JIMENEZ COMPAÑIA ELECTRICA SAS";"4111";"17/07/2008";"ACTIVA";"CALLE 127 D 45 A 54";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CALLE 154 A 96 40 INT 2 402";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"8051805";"3106136636";"monica.alejandra@jimenezcia.com";"1845725";"";"";"Si";""
17503;"900091763";1;1;"VITALUM SAS";"2511";"21/06/2006";"ACTIVA";"CL 80SUR 47 D 65  BG 113";"ANTIOQUIA";"SABANETA-ANTIOQUIA";"CL 80 SUR 47 D 65  BG 113";"ANTIOQUIA";"SABANETA-ANTIOQUIA";"Colombia";"4441624";"3137372639";"vitalum.contabilidad@une.net.co";"21-551690-12";"";"";"Si";"03. LIMPIO"
17504;"900258150";1;1;"INVERSIONES MACOLY LTDA";"1513";"24/10/2008";"ACTIVA";"CLL 3 SUR NO. 8A 19";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"CLL 3 SUR NO. 8A -19";"BOGOTA D.C.";"BOGOTA-D.C.-BOGOTA D.C.";"Colombia";"3332960";"3133229090";"MACOLY90@YAHOO.COM";"1851877";"";"";"Si";"03. LIMPIO"
17505;"900600648";1;1;"Eléctricos Industriales del Tolima SAS";"4752";"08/03/2013";"ACTIVA";"Carrera 1 18-46";"TOLIMA";"IBAGUE-TOLIMA";"carrera 1 18-46";"TOLIMA";"IBAGUE-TOLIMA";"Colombia";"2638660";"3103051251";"electroindutolima_70@hotmail.com";"232550";"";"";"Si";"03. LIMPIO"
17506;"900307301";1;1;"EXCAVAMOS JP S.A.S.";"4312";"21/08/2009";"ACTIVA";"CARRERA 55 NO. 27A-08";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CARRERA 55 NO. 27A -08";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"4449130";"3108485754";"gerencia@excavamosjp.com.co";"21-418531-12";"";"";"Si";"03. LIMPIO"
17507;"890325306";1;1;"INVERSIONES BREATÑA S A S";"4731";"13/02/1984";"ACTIVA";"CL 54  41C 30";"VALLE";"CALI-VALLE";"CL 54 41C 30";"VALLE";"CALI-VALLE";"Colombia";"3271126";"3017802300";"verdebretana@hotmail.com";"verdebretana@hotmail.com";"";"";"Si";"03. LIMPIO"
17508;"802014304";1;1;"GRUPO ALL SERVICE S.A.S.";"4754";"03/10/2000";"ACTIVA";"CL 38 No 33-19";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"CL 38 No 33-19";"ATLANTICO";"BARRANQUILLA-ATLANTICO";"Colombia";"0";"3174238691";"gerencia@mueblesydisenos.com.co";"476683";"";"";"Si";""
17509;"900330438";1;1;"JOY STAZ COMPANY SAS";"1410";"22/12/2009";"ACTIVA";"CALLE 29D 55 72";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"CALLE 29D 55 72";"ANTIOQUIA";"MEDELLIN-ANTIOQUIA";"Colombia";"2659441";"3003016484";"contadora@joystazjeans.com.co";"21-423316-12";"";"";"Si";"03. LIMPIO"
17510;"805024071";1;1;"DEPOSITO TEXTIL ALEYDA OSORIO SAS";"4751";"19/07/2002";"ACTIVA";"CR 4 16 30 BRR SAN NICOLAS";"VALLE";"CALI-VALLE";"CR 4 16 30 BRR SAN NICOLAS";"VALLE";"CALI-VALLE";"Colombia";"8821471";"3166928816";"depositoaleyda@hotmail.com";"589480";"";"";"Si";"03. LIMPIO"
