id;codigo;descripcion;riesgo
0;A0111;Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas;1000;
1;A0112;Cultivo de arroz;1000;
2;A0113;Cultivo de hortalizas, raíces y tubérculos;1000;
3;A0114;Cultivo de tabaco;1000;
4;A0115;Cultivo de plantas textiles;1000;
5;A0119;Otros cultivos transitorios n.c.p.;1000;
6;A0121;Cultivo de frutas tropicales y subtropicales;1000;
7;A0122;Cultivo de plátano y banano;1000;
8;A0123;Cultivo de café;1000;
9;A0124;Cultivo de caña de azúcar;1000;
10;A0125;Cultivo de flor de corte;1000;
11;A0126;Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos;1000;
12;A0127;Cultivo de plantas con las que se preparan bebidas;1000;
13;A0128;Cultivo de especias y de plantas aromáticas y medicinales;1000;
14;A0129;Otros cultivos permanentes n.c.p.;1000;
15;A0130;Propagación de plantas (actividades de los viveros, excepto viveros forestales);1000;
16;A0141;Cría de ganado bovino y bufalino;1000;
17;A0142;Cría de caballos y otros equinos;1000;
18;A0143;Cría de ovejas y cabras;1000;
19;A0144;Cría de ganado porcino;1000;
20;A0145;Cría de aves de corral;1000;
21;A0149;Cría de otros animales n.c.p.;1000;
22;A0150;Explotación mixta (agrícola y pecuaria);1000;
23;A0161;Actividades de apoyo a la agricultura;1000;
24;A0162;Actividades de apoyo a la ganadería;1000;
25;A0163;Actividades posteriores a la cosecha;1000;
26;A0164;Tratamiento de semillas para propagación;1000;
27;A0210;Silvicultura y otras actividades forestales;1000;
28;A0220;Extracción de madera;1000;
29;A0230;Recolección de productos forestales diferentes a la madera;1000;
30;A0240;Servicios de apoyo a la silvicultura;1000;
31;A0311;Pesca marítima;1000;
32;A0312;Pesca de agua dulce;1000;
33;A0321;Acuicultura marítima;1000;
34;A0322;Acuicultura de agua dulce;1000;
35;B0510;Extracción de hulla (carbón de piedra);1000;
36;B0520;Extracción de carbón lignito;1000;
37;B0610;Extracción de petróleo crudo;1000;
38;B0620;Extracción de gas natural;1000;
39;B0710;Extracción de minerales de hierro;1000;
40;B0722;Extracción de oro y otros metales preciosos;1000;
41;B0723;Extracción de minerales de níquel;1000;
42;B0729;Extracción de otros minerales metalíferos no ferrosos n.c.p.;1000;
43;B0811;Extracción de piedra, arena, arcillas comunes, yeso y anhidrita;1000;
44;B0812;Extracción de arcillas de uso industrial, caliza, caolín y bentonitas;1000;
45;B0820;Extracción de esmeraldas, piedras preciosas y semipreciosas;1000;
46;B0891;Extracción de minerales para la fabricación de abonos y productos químicos;1000;
47;B0892;Extracción de halita (sal);1000;
48;B0899;Extracción de otros minerales no metálicos n.c.p.;1000;
49;B0910;Actividades de apoyo para la extracción de petróleo y de gas natural;1000;
50;B0990;Actividades de apoyo para otras actividades de explotación de minas y canteras;1000;
51;C1011;Procesamiento y conservación de carne y productos cárnicos;1000;
52;C1012;Procesamiento y conservación de pescados, crustáceos y moluscos;1000;
53;C1020;Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos;1000;
54;C1030;Elaboración de aceites y grasas de origen vegetal y animal;1000;
55;C1040;Elaboración de productos lácteos;1000;
56;C1051;Elaboración de productos de molinería;1000;
57;C1052;Elaboración de almidones y productos derivados del almidón;1000;
58;C1061;Trilla de café;1000;
59;C1062;Descafeinado, tostión y molienda del café;1000;
60;C1063;Otros derivados del café;1000;
61;C1071;Elaboración y refinación de azúcar;1000;
62;C1072;Elaboración de panela;1000;
63;C1081;Elaboración de productos de panadería;1000;
64;C1082;Elaboración de cacao, chocolate y productos de confitería;1000;
65;C1083;Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares;1000;
66;C1084;Elaboración de comidas y platos preparados;1000;
67;C1089;Elaboración de otros productos alimenticios n.c.p.;1000;
68;C1090;Elaboración de alimentos preparados para animales;1000;
69;C1101;Destilación, rectificación y mezcla de bebidas alcohólicas;1000;
70;C1102;Elaboración de bebidas fermentadas no destiladas;1000;
71;C1103;Producción de malta, elaboración de cervezas y otras bebidas malteadas;1000;
72;C1104;Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas;1000;
73;C1200;Elaboración de productos de tabaco;1000;
74;C1311;Preparación e hilatura de fibras textiles;1000;
75;C1312;Tejeduría de productos textiles;1000;
76;C1313;Acabado de productos textiles;1000;
77;C1391;Fabricación de tejidos de punto y ganchillo;1000;
78;C1392;Confección de artículos con materiales textiles, excepto prendas de vestir;1000;
79;C1393;Fabricación de tapetes y alfombras para pisos;1000;
80;C1394;Fabricación de cuerdas, cordeles, cables, bramantes y redes;1000;
81;C1399;Fabricación de otros artículos textiles n.c.p.;1000;
82;C1410;Confección de prendas de vestir, excepto prendas de piel;1000;
83;C1420;Fabricación de artículos de piel;1000;
84;C1430;Fabricación de artículos de punto y ganchillo;1000;
85;C1511;Curtido y recurtido de cueros, recurtido y teñido de pieles;1000;
86;C1512;Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería;1000;
87;C1513;Fabricación de artículos de viaje, bolsos de mano y artículos similares, artículos de talabartería y guarnicionería elaborados en otros materiales;1000;
88;C1521;Fabricación de calzado de cuero y piel, con cualquier tipo de suela;1000;
89;C1522;Fabricación de otros tipos de calzado, excepto calzado de cuero y piel;1000;
90;C1523;Fabricación de partes del calzado;1000;
91;C1610;Aserrado, acepillado e impregnación de la madera;1000;
92;C1620;Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles;1000;
93;C1630;Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción;1000;
94;C1640;Fabricación de recipientes de madera;1000;
95;C1690;Fabricación de otros productos de madera, fabricación de artículos de corcho, cestería y espartería;1000;
96;C1701;Fabricación de pulpas (pastas) celulósicas, papel y cartón;1000;
97;C1702;Fabricación de papel y cartón ondulado (corrugado), fabricación de envases, empaques y de embalajes de papel y cartón;1000;
98;C1709;Fabricación de otros artículos de papel y cartón;1000;
99;C1811;Actividades de impresión;1000;
100;C1812;Actividades de servicios relacionados con la impresión;1000;
101;C1820;Producción de copias a partir de grabaciones originales;1000;
102;C1910;Fabricación de productos de hornos de coque;1000;
103;C1921;Fabricación de productos de la refinación del petróleo;1000;
104;C1922;Actividad de mezcla de combustibles;1000;
105;C2011;Fabricación de sustancias y productos químicos básicos;1000;
106;C2012;Fabricación de abonos y compuestos inorgánicos nitrogenados;1000;
107;C2013;Fabricación de plásticos en formas primarias;1000;
108;C2014;Fabricación de caucho sintético en formas primarias;1000;
109;C2021;Fabricación de plaguicidas y otros productos químicos de uso agropecuario;1000;
110;C2022;Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas;1000;
111;C2023;Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador;1000;
112;C2029;Fabricación de otros productos químicos n.c.p.;1000;
113;C2030;Fabricación de fibras sintéticas y artificiales;1000;
114;C2100;Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;1000;
115;C2211;Fabricación de llantas y neumáticos de caucho;1000;
116;C2212;Reencauche de llantas usadas;1000;
117;C2219;Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.;1000;
118;C2221;Fabricación de formas básicas de plástico;1000;
119;C2229;Fabricación de artículos de plástico n.c.p.;1000;
120;C2310;Fabricación de vidrio y productos de vidrio;1000;
121;C2391;Fabricación de productos refractarios;1000;
122;C2392;Fabricación de materiales de arcilla para la construcción;1000;
123;C2393;Fabricación de otros productos de cerámica y porcelana;1000;
124;C2394;Fabricación de cemento, cal y yeso;1000;
125;C2395;Fabricación de artículos de hormigón, cemento y yeso;1000;
126;C2396;Corte, tallado y acabado de la piedra;1000;
127;C2399;Fabricación de otros productos minerales no metálicos n.c.p.;1000;
128;C2410;Industrias básicas de hierro y de acero;1000;
129;C2421;Industrias básicas de metales preciosos;1000;
130;C2429;Industrias básicas de otros metales no ferrosos;1000;
131;C2431;Fundición de hierro y de acero;1000;
132;C2432;Fundición de metales no ferrosos;1000;
133;C2511;Fabricación de productos metálicos para uso estructural;1000;
134;C2512;Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías;1000;
135;C2513;Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central;1000;
